         988
      810000      140015  1.8057041E-03  -17.69711    
      810000      150016  1.7443723E-03  -16.22890    
      810000      160017  1.6008500E-03  -14.43058    
      810000      170018  1.8057759E-03  -11.48499    
      810000      180019  2.1519423E-03  -9.884752    
      810000      190020  1.8996354E-03  -7.805975    
      810000      200021  1.9445551E-03  -7.137485    
      810000      440045  3.5025693E-02   5.948272    
      810000      450046  7.1602814E-02  -27.04673    
      810000      460047  4.6788048E-02  -24.92553    
      810000      470048  7.2852024E-03  -22.33376    
      810000      480049  6.4741564E-03  -15.52215    
      810000      570056  1.2894949E-02  -17.64013    
      810000      580057  1.2008294E-02  -22.19305    
      810000      590058  2.8699345E-03  -20.83654    
      810000      590060  7.0031155E-03  -79.37231    
      810000      600061  2.0788228E-02  -30.60459    
      810000      500051  3.2859307E-02  -28.72027    
      810000      510052  8.5043289E-02  -24.52757    
      810000      530054  7.7027706E-03  -16.42422    
      810000      540055  3.6149647E-03  -11.64454    
      810000      630062  1.4588427E-02  -20.76586    
      810000      640063  7.1254764E-03  -24.67778    
      810000      640065  2.4248743E-03  -103.1053    
      810000      650066  1.1319856E-02  -51.42490    
      810000      660067  2.5431823E-02  -22.65030    
      820000       20001  6.9211749E-03  -17.08756    
      820000       30002  1.4610194E-02  -20.24409    
      820000       40003  1.5481316E-02  -20.71625    
      820000       50004  5.4881074E-03  -20.07015    
      820000       60005  6.8604113E-03  -19.38514    
      820000       70006  1.4855455E-02  -20.80896    
      820000       80007  2.3563413E-02  -16.91290    
      820000       90008  8.7512415E-03  -14.18168    
      820000      100009  3.6923075E-03   11.05612    
      820000      120011  2.5403648E-04   157.5493    
      820000      130012  2.5808270E-04   258.4529    
      820000      130014  1.5009273E-04  -286.9285    
      820000      140015  3.9588398E-04  -78.36552    
      820000      150016  7.1082643E-04  -37.92019    
      820000      160017  9.6923334E-04  -24.47703    
      820000      170018  1.4196549E-03  -15.95741    
      820000      180019  1.9879162E-03  -12.41978    
      820000      190020  1.9506469E-03  -9.344138    
      820000      200021  2.0525248E-03  -8.034249    
      820000      450046  4.1909147E-02  -42.40991    
      820000      460047  5.4962087E-02  -30.95683    
      820000      470048  1.3430134E-02  -21.74333    
      820000      480049  1.0923170E-02  -16.77671    
      820000      570056  2.3201343E-02  -20.00382    
      820000      580057  2.1895269E-02  -21.02947    
      820000      590058  1.1232194E-02  -16.84799    
